KxIndex	class	rr_class
1	0	-0.15855177200688497
2	0	0.23245483381367515
3	0	-0.19250896559463682
4	0	-0.06627741296328174
5	0	0.47971121895772662
6	0	0.5406431865829221
7	0	-0.24161631620687257
8	1	0.31210775022329484
9	1	0.55540989046347
10	1	0.8014895493955988
11	1	0.33722187724195218
12	1	0.50842846950472298
13	0	-0.23236009517945688
14	0	-0.078653817629182873
15	1	0.18460740035296425
16	0	-0.12374370835379572
17	0	-0.23745700899661276
18	0	-0.20900187303040038
19	0	0.069923615331083336
20	1	0.054667987071317911
21	1	0.73476115915513185
22	0	-0.25223742393869841
23	0	-0.050654073336717363
24	0	0.34131688555520501
25	0	-0.17902625454574314
26	1	0.33278636160877251
27	0	-0.19269384080790908
28	1	0.083982716874042004
29	0	-0.035839503264215769
30	0	0.094361880718550686
31	0	-0.078274006899798992
32	0	-0.14083684136020203
33	0	0.030077425325504989
34	0	-0.094422890507708135
35	0	-0.019632130142810719
36	0	-0.25865548296482849
37	0	-0.21013887811020374
38	0	0.0726316386727031
39	1	0.12938732144235965
40	0	0.35887013145969615
41	0	-0.017316626389693404
42	0	0.42009709871173062
43	0	0.45515570755871881
44	0	-0.23386886616550973
45	0	-0.2465158034421478
46	1	0.47032922486507656
47	0	0.031509864480960145
48	0	0.011273025937545242
49	0	0.17159427882112044
50	0	-0.059535846803111248
51	0	0.26308754573539794
52	0	-0.27987915815302461
53	1	0.76503130461722346
54	1	0.10399142293600268
55	0	-0.059310544399347902
56	1	0.17908513836400253
57	0	-0.22974185832284105
58	0	-0.026779757208456295
59	0	0.12000478491367216
60	0	0.22330264905088021
61	0	0.24314257096032443
62	0	-0.22911047109836674
63	0	0.10665318559513103
64	1	0.75305537815122747
65	0	-0.062462247516306746
66	0	0.10780478759318389
67	0	-0.17147648572239874
68	1	0.13057555078730987
69	1	0.4456528050182893
70	0	-0.20832177681787753
71	0	-0.20718893058108223
72	0	-0.13005619775515773
73	1	0.39219647720468315
74	0	-0.19684281093789452
75	0	-0.02659189993950363
76	0	-0.26698550261453446
77	0	0.10735397461173123
78	0	-0.16027021225375854
79	0	-0.29353540831668712
80	0	-0.12005370166308291
81	0	-0.28032814919691729
82	0	0.16005428059213761
83	0	0.026905438666320128
84	0	0.23751427608292408
85	1	0.63153790130692145
86	0	-0.20350968008831505
87	1	0.15340482967831837
88	0	0.61443337357734051
89	0	-0.20871835938053518
90	1	0.12544247443321993
91	0	0.31352361531959827
92	0	-0.17023569954652162
93	0	-0.22043472145704884
94	0	0.14342162148601223
95	1	0.33436726568748343
96	0	-0.20907145120650003
97	1	0.90343054790477584
98	1	0.26163083527814246
99	0	-0.057831407602808339
100	0	-0.20795963370171505
101	1	0.51534451940965065
102	1	0.82032483406227819
103	0	0.041494383795922699
104	0	-0.21515809601331581
105	0	-0.19107818440092167
106	1	0.72583723734291572
107	0	0.73164652441901812
108	0	-0.25646224488632896
109	0	-0.21976337476868066
110	0	0.010846497261546517
111	0	-0.099752504012346449
112	1	0.50286989827677064
113	1	0.48713991416641755
114	0	0.093990457051954593
115	0	-0.26487831861147448
116	0	-0.084361898037139865
117	0	0.39052305277525079
118	1	0.18848324374206538
119	0	0.27232669017925676
120	0	-0.18614538571948214
121	0	-0.26433880564147505
122	0	0.58087767084998532
123	0	-0.087183402031124305
124	1	0.55504942817772784
125	0	-0.25210772665146242
126	1	0.47255860706288333
127	0	-0.16334060037340439
128	1	0.14809520400659071
129	0	0.035879366442217994
130	0	-0.13580799573143415
131	0	-0.17220900005091566
132	0	-0.053040736071116958
133	0	0.049307771379341406
134	0	0.43720940532016783
135	0	-0.12828475903208159
136	1	0.4680332028648857
137	0	0.13693593937906301
138	0	0.17623736460002487
139	0	-0.25353564094575903
140	1	0.1052468687070235
141	0	0.20931091410278896
142	0	-0.22401408944435114
143	0	-0.29767158288800816
144	1	-0.062366749208040445
145	0	-0.17266698548293241
146	0	-0.25740699302637365
147	0	-0.060510542489115721
148	0	-0.27552701633683796
149	0	0.35203931557546103
150	0	-0.16249152467778988
151	0	-0.22168456706484779
152	0	-0.23220506602902191
153	0	-0.1053134646255158
154	0	-0.22274549402144772
155	1	-0.14836983689379746
156	0	0.18841210860139979
157	0	-0.14290332283297374
158	0	-0.20278661760412101
159	0	-0.1176885541663612
160	0	-0.13399028200087182
161	0	-0.22542995012310568
162	0	-0.25940946096435896
